NodeName=gpu01|Arch=x86_64|CoresPerSocket=10|CPUAlloc=0|CPUErr=0|CPUTot=20|CPULoad=0.01|AvailableFeatures=128gb,broadwell-ep,e5-2640v4|ActiveFeatures=128gb,broadwell-ep,e5-2640v4|Gres=gpu:gp100:2|NodeAddr=gpu01|NodeHostName=gpu01|Version=17.02|OS=Linux|RealMemory=128647|AllocMem=0|FreeMem=126873|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=gpu|BootTime=2020-03-06T11:20:07|SlurmdStartTime=2020-03-06T14:56:42|CfgTRES=cpu=20,mem=128647M,gres/gpu=2|AllocTRES=|CapWatts=n/a|CurrentWatts=26|LowestJoules=327905|ConsumedJoules=14455238|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=gpu02|Arch=x86_64|CoresPerSocket=8|CPUAlloc=0|CPUErr=0|CPUTot=16|CPULoad=0.01|AvailableFeatures=32gb,sandybridge-ep,e5-2665|ActiveFeatures=32gb,sandybridge-ep,e5-2665|Gres=gpu:k40c:2|NodeAddr=gpu02|NodeHostName=gpu02|Version=17.02|OS=Linux|RealMemory=31978|AllocMem=0|FreeMem=30881|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=gpu|BootTime=2020-03-06T11:19:50|SlurmdStartTime=2020-03-06T14:56:44|CfgTRES=cpu=16,mem=31978M,gres/gpu=2|AllocTRES=|CapWatts=n/a|CurrentWatts=36|LowestJoules=89486|ConsumedJoules=22178750|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=nehalem01|Arch=x86_64|CoresPerSocket=4|CPUAlloc=0|CPUErr=0|CPUTot=8|CPULoad=0.01|AvailableFeatures=24gb,nehalem-ep,e5620|ActiveFeatures=24gb,nehalem-ep,e5620|Gres=(null)|NodeAddr=nehalem01|NodeHostName=nehalem01|Version=17.02|OS=Linux|RealMemory=23938|AllocMem=0|FreeMem=22822|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=nehalem,esp_guest|BootTime=2020-03-06T11:19:04|SlurmdStartTime=2020-03-06T14:56:40|CfgTRES=cpu=8,mem=23938M|AllocTRES=|CapWatts=n/a|CurrentWatts=n/s|LowestJoules=n/s|ConsumedJoules=n/s|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=nehalem02|Arch=x86_64|CoresPerSocket=4|CPUAlloc=0|CPUErr=0|CPUTot=8|CPULoad=0.01|AvailableFeatures=24gb,nehalem-ep,e5620|ActiveFeatures=24gb,nehalem-ep,e5620|Gres=(null)|NodeAddr=nehalem02|NodeHostName=nehalem02|Version=17.02|OS=Linux|RealMemory=23938|AllocMem=0|FreeMem=22819|Sockets=2|Boards=1|State=IDLE|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=N/A|MCS_label=N/A|Partitions=nehalem,esp_guest|BootTime=2020-03-06T11:19:05|SlurmdStartTime=2020-03-06T14:56:40|CfgTRES=cpu=8,mem=23938M|AllocTRES=|CapWatts=n/a|CurrentWatts=n/s|LowestJoules=n/s|ConsumedJoules=n/s|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node01|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=18.01|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node01|NodeHostName=node01|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=122084|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=rkhasseh(9917)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T10:18:37|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=140|LowestJoules=508775|ConsumedJoules=97320117|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node02|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=18.06|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node02|NodeHostName=node02|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=122145|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=rkhasseh(9917)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T10:18:38|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=133|LowestJoules=348011|ConsumedJoules=92215966|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node03|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=18.01|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node03|NodeHostName=node03|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=123621|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=rkhasseh(9917)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T14:20:53|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=141|LowestJoules=502728|ConsumedJoules=96752409|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node04|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=18.01|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node04|NodeHostName=node04|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=122150|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=rkhasseh(9917)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T14:20:54|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=137|LowestJoules=299943|ConsumedJoules=94608567|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node05|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=18.01|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node05|NodeHostName=node05|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=122085|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=rkhasseh(9917)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T14:20:58|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=142|LowestJoules=440425|ConsumedJoules=87989436|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
NodeName=node06|Arch=x86_64|CoresPerSocket=1|CPUAlloc=40|CPUErr=0|CPUTot=40|CPULoad=18.01|AvailableFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|ActiveFeatures=omnipart,128gb,broadwell-ep,e5-2640v4|Gres=(null)|NodeAddr=node06|NodeHostName=node06|Version=17.02|OS=Linux|RealMemory=128655|AllocMem=0|FreeMem=122093|Sockets=40|Boards=1|State=ALLOCATED|ThreadsPerCore=1|TmpDisk=9951|Weight=1|Owner=rkhasseh(9917)|MCS_label=N/A|Partitions=cmsp|BootTime=2019-10-17T12:24:27|SlurmdStartTime=2020-03-06T14:56:35|CfgTRES=cpu=40,mem=128655M|AllocTRES=cpu=40|CapWatts=n/a|CurrentWatts=131|LowestJoules=521014|ConsumedJoules=88916690|ExtSensorsJoules=n/s|ExtSensorsWatts=0|ExtSensorsTemp=n/s
