ConsumedMegajoules,NodeName,Lowestkilojoules,Partitions,AvailableFeatures
14.455238,gpu01,327.905,gpu,"128gb,broadwell-ep,e5-2640v4"
22.17875,gpu02,89.486,gpu,"32gb,sandybridge-ep,e5-2665"
97.320117,node01,508.775,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
92.215966,node02,348.011,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
96.752409,node03,502.728,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
94.608567,node04,299.943,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
87.989436,node05,440.425,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
88.91669,node06,521.014,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
87.90322,node07,569.304,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
92.212749,node08,451.749,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
86.904451,node09,600.464,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
89.520467,node10,716.587,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
83.843963,node11,852.963,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
83.850547,node12,453.916,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
92.99896,node13,350.81,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
86.05165,node14,393.316,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
94.967974,node15,817.67,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
84.869259,node16,705.952,cmsp,"omnipart,128gb,broadwell-ep,e5-2640v4"
31.452559,node21,198.809,long,"infiniband,32gb,sandybridge-ep,e5-2620"
27.602517,node22,72.985,long,"infiniband,32gb,sandybridge-ep,e5-2620"
29.826602,node23,99.854,long,"infiniband,32gb,sandybridge-ep,e5-2620"
22.606687,node24,151.441,long,"infiniband,32gb,sandybridge-ep,e5-2620"
23.544313,node25,115.095,long,"infiniband,32gb,sandybridge-ep,e5-2620"
26.410667,node26,138.547,long,"infiniband,32gb,sandybridge-ep,e5-2620"
16.736951,node27,93.702,long,"infiniband,32gb,sandybridge-ep,e5-2620"
21.976447,node28,109.831,long,"infiniband,32gb,sandybridge-ep,e5-2620"
20.930375,node29,139.224,long,"infiniband,32gb,sandybridge-ep,e5-2620"
14.730261,node30,132.675,long,"infiniband,32gb,sandybridge-ep,e5-2620"
14.409621,node31,134.788,long,"infiniband,32gb,sandybridge-ep,e5-2620"
14.202569,node32,124.276,long,"infiniband,32gb,sandybridge-ep,e5-2620"
18.727986,node61,71.584,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
17.258154,node62,95.752,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
17.486728,node63,66.363,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
17.567431,node64,12.784,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
16.750641,node65,84.617,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
14.322758,node66,107.149,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
14.028406,node67,38.036,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
15.357173,node68,30.24,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
13.446973,node69,99.385,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
13.243008,node70,54.174,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
13.750288,node71,101.474,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
12.914289,node72,52.708,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
14.4007,node73,34.964,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
12.878325,node74,99.636,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
12.74595,node75,61.345,esp,"infiniband,32gb,sandybridge-ep,e5-2620"
